destination,category,headline,date,source
제주,안전치안,제주 해안가 이안류 주의보 발령,2026-09-01,기상청
제주,안전치안,제주 지역 특이 치안 이슈 없음,2026-08-30,제주경찰청
제주,축제이벤트,제주 들불축제 준비위 출범 발표,2026-08-29,제주관광공사
제주,축제이벤트,성산일출 야시장 이번 주말 개장,2026-09-02,서귀포시
제주,교통항공편,제주공항 국내선 증편 운항,2026-08-31,제주공항
제주,교통항공편,제주 렌터카 성수기 예약 마감 임박,2026-09-01,제주관광협회
강릉,안전치안,강릉 해수욕장 안전요원 배치 연장,2026-08-30,강릉시
강릉,안전치안,강릉 지역 특이 안전사고 없음,2026-09-01,강원경찰청
강릉,축제이벤트,강릉커피축제 다음달 개최 예고,2026-08-28,강릉시
강릉,축제이벤트,정동진 해돋이 야시장 운영 중,2026-09-02,강릉관광재단
강릉,교통항공편,강릉선 KTX 주말 증편,2026-08-29,코레일
강릉,교통항공편,영동고속도로 주말 정체 예상,2026-09-01,한국도로공사
속초,안전치안,속초 해변 파도주의보 발령,2026-09-01,속초시
속초,안전치안,속초 지역 특이 치안 이슈 없음,2026-08-30,강원경찰청
속초,축제이벤트,설악문화제 다음달 개최 확정,2026-08-28,속초시
속초,축제이벤트,속초 관광수산시장 야시장 운영,2026-09-02,속초시
속초,교통항공편,속초행 시외버스 주말 증차,2026-08-31,속초시외버스터미널
속초,교통항공편,미시령터널 주말 정체 예상,2026-09-01,한국도로공사
춘천,안전치안,춘천 지역 특이 안전사고 없음,2026-08-30,강원경찰청
춘천,안전치안,남이섬 선착장 안전점검 완료,2026-09-01,춘천시
춘천,축제이벤트,춘천마임축제 결산 발표,2026-08-28,춘천문화재단
춘천,축제이벤트,소양강 스카이워크 야간개장 연장,2026-09-02,춘천시
춘천,교통항공편,경춘선 열차 주말 증편,2026-08-29,코레일
춘천,교통항공편,서울양양고속도로 주말 정체 예상,2026-09-01,한국도로공사
경주,안전치안,경주 지역 특이 치안 이슈 없음,2026-08-30,경북경찰청
경주,안전치안,보문단지 안전순찰 강화,2026-09-01,경주시
경주,축제이벤트,경주문화엑스포 다음달 개최 예고,2026-08-28,경북문화관광공사
경주,축제이벤트,동궁과월지 야간개장 연장,2026-09-02,경주시
경주,교통항공편,KTX 신경주역 주말 임시열차 투입,2026-08-29,코레일
경주,교통항공편,경부고속도로 경주 구간 정체 예상,2026-09-01,한국도로공사
안동,안전치안,안동 지역 특이 안전사고 없음,2026-08-30,경북경찰청
안동,안전치안,하회마을 화재예방 점검 실시,2026-09-01,안동시
안동,축제이벤트,안동국제탈춤페스티벌 결산 발표,2026-08-28,안동시
안동,축제이벤트,월영교 야간 조명쇼 연장 운영,2026-09-02,안동시
안동,교통항공편,안동행 시외버스 주말 증차,2026-08-31,안동시외버스터미널
안동,교통항공편,중앙고속도로 안동 구간 정체 예상,2026-09-01,한국도로공사
전주,안전치안,전주한옥마을 화재예방 순찰 강화,2026-09-01,전주시
전주,안전치안,전주 지역 특이 치안 이슈 없음,2026-08-30,전북경찰청
전주,축제이벤트,전주비빔밥축제 다음달 개최 예고,2026-08-28,전주시
전주,축제이벤트,전주한옥마을 야시장 연장 운영,2026-09-02,전주시
전주,교통항공편,전주행 KTX 주말 증편,2026-08-29,코레일
전주,교통항공편,전주 시내 주말 교통통제 예정,2026-09-01,전주시
여수,안전치안,여수 해상 안전관리 강화 주간,2026-09-01,여수해양경찰서
여수,안전치안,여수 지역 특이 치안 이슈 없음,2026-08-30,전남경찰청
여수,축제이벤트,여수밤바다 불꽃축제 일정 공개,2026-08-28,여수시
여수,축제이벤트,여수 해상케이블카 야간운행 연장,2026-09-02,여수시
여수,교통항공편,여수행 고속버스 주말 증차,2026-08-29,여수종합버스터미널
여수,교통항공편,여수산단 인근 도로 정체 예상,2026-09-01,여수시
부산,안전치안,부산 해운대 이안류 주의보 발령,2026-09-01,부산시
부산,안전치안,부산 지역 특이 치안 이슈 없음,2026-08-30,부산경찰청
부산,축제이벤트,부산불꽃축제 일정 공개,2026-08-28,부산시
부산,축제이벤트,광안리 M드론라이트쇼 연장 운영,2026-09-02,부산시
부산,교통항공편,김해공항 국내선 증편 운항,2026-08-29,김해공항
부산,교통항공편,부산 도심 주말 교통 혼잡 예상,2026-09-01,부산시
통영,안전치안,통영 해상 안전관리 강화 주간,2026-09-01,통영해양경찰서
통영,안전치안,통영 지역 특이 치안 이슈 없음,2026-08-30,경남경찰청
통영,축제이벤트,통영한산대첩축제 결산 발표,2026-08-28,통영시
통영,축제이벤트,동피랑 벽화마을 야간 개방 연장,2026-09-02,통영시
통영,교통항공편,통영행 고속버스 주말 증차,2026-08-29,통영종합버스터미널
통영,교통항공편,거가대교 주말 정체 예상,2026-09-01,한국도로공사
강화도,안전치안,강화도 갯벌 안전사고 주의 당부,2026-09-01,강화군
강화도,안전치안,강화도 지역 특이 치안 이슈 없음,2026-08-30,인천경찰청
강화도,축제이벤트,강화 고인돌축제 다음달 개최 예고,2026-08-28,강화군
강화도,축제이벤트,강화 전통시장 야시장 운영,2026-09-02,강화군
강화도,교통항공편,강화행 광역버스 주말 증차,2026-08-29,인천시
강화도,교통항공편,강화대교 주말 정체 예상,2026-09-01,강화군
태안,안전치안,태안 해수욕장 안전요원 배치 연장,2026-08-30,태안군
태안,안전치안,태안 지역 특이 치안 이슈 없음,2026-09-01,충남경찰청
태안,축제이벤트,태안 세계튤립꽃박람회 결산 발표,2026-08-28,태안군
태안,축제이벤트,꽃지해변 노을축제 이번 주말 개최,2026-09-02,태안군
태안,교통항공편,태안행 고속버스 주말 증차,2026-08-29,태안공영버스터미널
태안,교통항공편,서해안고속도로 태안 구간 정체 예상,2026-09-01,한국도로공사
인천,안전치안,인천 을왕리해변 안전요원 배치 연장,2026-08-30,인천시
인천,안전치안,인천 지역 특이 치안 이슈 없음,2026-09-01,인천경찰청
인천,축제이벤트,인천 펜타포트 락페스티벌 결산 발표,2026-08-28,인천시
인천,축제이벤트,송도 센트럴파크 야간 조명쇼 운영,2026-09-02,인천경제자유구역청
인천,교통항공편,인천공항 국제선 증편 운항,2026-08-29,인천국제공항공사
인천,교통항공편,인천 도심 주말 교통 혼잡 예상,2026-09-01,인천시
가평,안전치안,가평 계곡 안전사고 주의 당부,2026-09-01,가평군
가평,안전치안,가평 지역 특이 치안 이슈 없음,2026-08-30,경기북부경찰청
가평,축제이벤트,자라섬재즈페스티벌 다음달 개최 예고,2026-08-28,가평군
가평,축제이벤트,아침고요수목원 별빛정원전 연장 운영,2026-09-02,가평군
가평,교통항공편,경춘선 가평역 주말 임시열차 투입,2026-08-29,코레일
가평,교통항공편,서울양양고속도로 가평 구간 정체 예상,2026-09-01,한국도로공사
보령,안전치안,보령 대천해수욕장 안전요원 배치 연장,2026-08-30,보령시
보령,안전치안,보령 지역 특이 안전사고 없음,2026-09-01,충남경찰청
보령,축제이벤트,보령머드축제 결산 발표,2026-08-28,보령시
보령,축제이벤트,대천해변 불꽃축제 이번 주말 개최,2026-09-02,보령시
보령,교통항공편,보령행 고속버스 주말 증차,2026-08-29,보령종합버스터미널
보령,교통항공편,서해안고속도로 보령 구간 정체 예상,2026-09-01,한국도로공사
단양,안전치안,단양 패러글라이딩 안전점검 실시,2026-09-01,단양군
단양,안전치안,단양 지역 특이 치안 이슈 없음,2026-08-30,충북경찰청
단양,축제이벤트,단양온달문화축제 결산 발표,2026-08-28,단양군
단양,축제이벤트,만천하스카이워크 야간개장 연장,2026-09-02,단양군
단양,교통항공편,중앙고속도로 단양 구간 정체 예상,2026-09-01,한국도로공사
단양,교통항공편,단양행 시외버스 주말 증차,2026-08-29,단양시외버스터미널
서귀포,안전치안,서귀포 해안가 안전요원 배치 연장,2026-08-30,서귀포시
서귀포,안전치안,서귀포 지역 특이 치안 이슈 없음,2026-09-01,제주서부경찰서
서귀포,축제이벤트,서귀포 칠십리축제 결산 발표,2026-08-28,서귀포시
서귀포,축제이벤트,매일올레시장 야시장 운영,2026-09-02,서귀포시
서귀포,교통항공편,제주공항 국내선 증편 운항,2026-08-31,제주공항
서귀포,교통항공편,서귀포 렌터카 성수기 예약 마감 임박,2026-09-01,제주관광협회
우도,안전치안,우도 여객선 안전점검 실시,2026-09-01,우도면
우도,안전치안,우도 지역 특이 치안 이슈 없음,2026-08-30,제주동부경찰서
우도,축제이벤트,우도 땅콩축제 다음달 개최 예고,2026-08-28,우도면
우도,축제이벤트,검멀레해변 여름축제 이번 주말 개최,2026-09-02,우도면
우도,교통항공편,성산항-우도 여객선 증편 운항,2026-08-29,제주도청
우도,교통항공편,우도 자전거 대여 성수기 예약 마감 임박,2026-09-01,우도관광협회
순천,안전치안,순천만습지 탐방로 안전점검 실시,2026-09-01,순천시
순천,안전치안,순천 지역 특이 치안 이슈 없음,2026-08-30,전남경찰청
순천,축제이벤트,순천만국제정원박람회 다음달 개최 예고,2026-08-28,순천시
순천,축제이벤트,순천만습지 갈대축제 이번 주말 개최,2026-09-02,순천시
순천,교통항공편,순천행 KTX 주말 증편,2026-08-29,코레일
순천,교통항공편,남해고속도로 순천 구간 정체 예상,2026-09-01,한국도로공사
포항,안전치안,포항 영일대해수욕장 안전요원 배치 연장,2026-08-30,포항시
포항,안전치안,포항 지역 특이 치안 이슈 없음,2026-09-01,경북경찰청
포항,축제이벤트,포항국제불빛축제 결산 발표,2026-08-28,포항시
포항,축제이벤트,죽도시장 미식야시장 운영,2026-09-02,포항시
포항,교통항공편,포항행 KTX 주말 증편,2026-08-29,코레일
포항,교통항공편,포항 도심 주말 교통 혼잡 예상,2026-09-01,포항시
거제,안전치안,거제 몽돌해변 안전요원 배치 연장,2026-08-30,거제시
거제,안전치안,거제 지역 특이 치안 이슈 없음,2026-09-01,경남경찰청
거제,축제이벤트,거제섬꽃축제 결산 발표,2026-08-28,거제시
거제,축제이벤트,바람의언덕 야간 조명 연장 운영,2026-09-02,거제시
거제,교통항공편,거가대교 주말 정체 예상,2026-09-01,한국도로공사
거제,교통항공편,거제행 고속버스 주말 증차,2026-08-29,거제종합버스터미널
