destination,agency,product_type,product_name,price_2n3d,price_3n4d
제주,하나투어,패키지,제주 올레길 감성여행,398000,498000
제주,마이리얼트립,자유여행,제주 자유여행 항공+호텔,289000,359000
제주,인터파크투어,에어텔,제주 에어텔 스탠다드,259000,329000
제주,노랑풍선,항공권,제주행 항공권 특가,89000,89000
강릉,모두투어,세미패키지,강릉 커피거리 반자유여행,215000,275000
강릉,참좋은여행,패키지,강릉 정동진 일출투어,239000,299000
강릉,롯데관광,자유여행,강릉 바다뷰 호텔 자유여행,199000,259000
강릉,온라인투어,호텔,강릉 오션뷰 호텔 2박,158000,238000
속초,하나투어,패키지,속초 설악산 단풍투어,229000,289000
속초,인터파크투어,자유여행,속초 자유여행 패키지,189000,249000
속초,마이리얼트립,호텔,속초 해변 호텔 숙박권,149000,229000
속초,온라인투어,세미패키지,속초 반나절 가이드 투어,209000,269000
춘천,모두투어,패키지,춘천 남이섬 당일+숙박,179000,229000
춘천,참좋은여행,자유여행,춘천 감성여행 자유일정,159000,209000
춘천,롯데관광,호텔,춘천 호수뷰 호텔,139000,199000
춘천,노랑풍선,세미패키지,춘천 닭갈비 골목투어,169000,219000
경주,하나투어,패키지,경주 역사문화 탐방,219000,279000
경주,인터파크투어,자유여행,경주 자유일정 숙박권,179000,239000
경주,마이리얼트립,호텔,경주 한옥스테이,199000,259000
경주,온라인투어,세미패키지,경주 반가이드 야경투어,189000,249000
안동,모두투어,패키지,안동 하회마을 전통투어,209000,269000
안동,참좋은여행,자유여행,안동 고택 자유여행,169000,229000
안동,롯데관광,호텔,안동 한옥마을 숙박,159000,219000
안동,노랑풍선,세미패키지,안동 종가음식 체험투어,199000,259000
전주,하나투어,패키지,전주 한옥마을 미식투어,199000,259000
전주,인터파크투어,자유여행,전주 자유여행 숙박권,169000,229000
전주,마이리얼트립,호텔,전주 한옥스테이,189000,249000
전주,온라인투어,세미패키지,전주 야시장 투어,179000,239000
여수,모두투어,패키지,여수 밤바다 야경투어,249000,309000
여수,참좋은여행,자유여행,여수 자유일정 숙박권,209000,269000
여수,롯데관광,호텔,여수 오션뷰 호텔,199000,259000
여수,노랑풍선,세미패키지,여수 해상케이블카 투어,229000,289000
부산,하나투어,패키지,부산 해운대 감성투어,259000,319000
부산,인터파크투어,자유여행,부산 자유여행 항공+호텔,229000,289000
